3.507993	-2.05783994	-2.10312175	-9.5191225	-9.58185759	
3.518432	-2.00549029	-2.05076187	-9.46677284	-9.52949772	
3.536172	-1.91425597	-1.99840199	-9.37553852	-9.48586448	
3.540686	-1.8911018	-1.92858882	-9.35238435	-9.42477796	
3.550886	-1.83795604	-1.8675023	-9.29923859	-9.36369144	
3.561033	-1.78449663	-1.81514242	-9.24577918	-9.31133156	
3.571191	-1.73036547	-1.76278254	-9.19164802	-9.25024504	
3.581429	-1.67515495	-1.70169602	-9.1364375	-9.19788516	
3.59149	-1.62030781	-1.6406095	-9.08159036	-9.14552528	
3.601671	-1.56417536	-1.58824962	-9.02545792	-9.08443876	
3.61189	-1.50717167	-1.53588974	-8.96845423	-9.02335223	
3.622116	-1.44953495	-1.47480322	-8.9108175	-8.97099236	
3.632184	-1.3922085	-1.42244334	-8.85349105	-8.90117919	
3.642289	-1.33402874	-1.36135682	-8.79531129	-8.84009266	
3.652496	-1.27465116	-1.30899694	-8.73593371	-8.77900614	
3.662673	-1.21483384	-1.24791042	-8.67611639	-8.70919297	
3.672776	-1.15479956	-1.18682389	-8.61608212	-8.64810644	
3.682955	-1.09372593	-1.12573737	-8.55500848	-8.58701992	
3.693274	-1.03113223	-1.06465084	-8.49241478	-8.51720675	
3.703274	-0.969912938	-0.994837674	-8.43119549	-8.44739358	
3.713443	-0.907033456	-0.93375115	-8.36831601	-8.38630706	
3.733473	-0.780160488	-0.811578102	-8.24144304	-8.25540736	
3.738015	-0.751479502	-0.785398163	-8.21276205	-8.22922742	
3.748173	-0.686558348	-0.715584993	-8.1478409	-8.1681409	
3.766582	-0.566378244	-0.654498469	-8.0276608	-8.10705438	
3.771116	-0.536880174	-0.575958653	-7.99816273	-8.02851456	
3.781345	-0.469441054	-0.506145483	-7.93072361	-7.95870139	
3.791428	-0.402358488	-0.436332313	-7.86364104	-7.89761487	
3.801549	-0.334434367	-0.366519143	-7.79571692	-7.83652834	
3.811987	-0.263684637	-0.296705973	-7.72496719	-7.76671517	
3.822164	-0.194096586	-0.226892803	-7.65537914	-7.696902	
3.832302	-0.124208342	-0.157079633	-7.58549089	-7.62708883	
3.84245	-0.0536053437	-0.0872664626	-7.5148879	-7.55727566	
3.852594	0.017601204	-0.0174532925	-7.44368135	-7.48746249	
3.862812	0.0899631577	0.0523598776	-7.37131939	-7.41764932	
3.872924	0.162163433	0.122173048	-7.29911912	-7.34783615	
3.883442	0.237968511	0.191986218	-7.22331404	-7.26929633	
3.893413	0.31035408	0.261799388	-7.15092847	-7.19075652	
3.904759	0.393612051	0.340339204	-7.0676705	-7.12094335	
3.913671	0.459404884	0.410152374	-7.00187767	-7.04240353	
3.92392	0.535753579	0.488692191	-6.92552897	-6.96386372	
3.93404	0.611729721	0.567232007	-6.84955283	-6.89405055	
